id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
237634104,RPE_1-2020-11-14_05-30.flac,RPE_1,2020,11,14,5,30,Amazophrynella minuta,Common Song,50.28861678004535,52.17523809523809,2411.71875,4995.703125,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858190,0.3009337380468283,7975
237634105,RPE_1-2020-11-14_05-40.flac,RPE_1,2020,11,14,5,40,Amazophrynella minuta,Common Song,1.7124716553287982,3.599092970521542,2411.71875,4995.703125,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858196,0.392359587252477,7975
237634106,RPE_1-2020-11-14_05-40.flac,RPE_1,2020,11,14,5,40,Amazophrynella minuta,Common Song,2.6993197278911563,4.5859410430839,2411.71875,4995.703125,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858196,0.3701747021932935,7975
237634107,RPE_1-2020-11-14_05-40.flac,RPE_1,2020,11,14,5,40,Amazophrynella minuta,Common Song,0.737233560090703,2.6238548752834467,2411.71875,4995.703125,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858196,0.3554224160330902,7975
237634108,RPE_1-2020-11-14_21-10.flac,RPE_1,2020,11,14,21,10,Amazophrynella minuta,Common Song,57.78285714285714,59.66947845804989,2411.71875,4995.703125,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858842,0.3688205867383781,7975
237634109,RPE_1-2020-11-14_21-10.flac,RPE_1,2020,11,14,21,10,Amazophrynella minuta,Common Song,52.169433106575966,54.05605442176871,2411.71875,4995.703125,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858842,0.3595092487557497,7975
237634110,RPE_1-2020-11-14_21-10.flac,RPE_1,2020,11,14,21,10,Amazophrynella minuta,Common Song,53.202721088435375,55.089342403628116,2411.71875,4995.703125,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858842,0.3592681431999411,7975
237634111,RPE_1-2020-11-14_21-45.flac,RPE_1,2020,11,14,21,45,Amazophrynella minuta,Common Song,10.12390022675737,12.010521541950114,2411.71875,4995.703125,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858864,0.300310672950386,7975
237634112,RPE_1-2020-11-14_22-20.flac,RPE_1,2020,11,14,22,20,Amazophrynella minuta,Common Song,46.76498866213152,48.65160997732426,2411.71875,4995.703125,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858880,0.30684577477177305,7975
237634113,RPE_1-2020-11-14_22-20.flac,RPE_1,2020,11,14,22,20,Amazophrynella minuta,Common Song,53.37687074829932,55.263492063492066,2411.71875,4995.703125,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858880,0.3034490339640528,7975
237634114,RPE_1-2020-11-14_23-25.flac,RPE_1,2020,11,14,23,25,Amazophrynella minuta,Common Song,13.978412698412699,15.865034013605442,2411.71875,4995.703125,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858923,0.3788858311994363,7975
237634115,RPE_1-2020-11-14_23-25.flac,RPE_1,2020,11,14,23,25,Amazophrynella minuta,Common Song,13.020589569160999,14.907210884353741,2411.71875,4995.703125,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858923,0.3463339743940714,7975
237634116,RPE_1-2020-11-14_23-25.flac,RPE_1,2020,11,14,23,25,Amazophrynella minuta,Common Song,14.930430839002268,16.81705215419501,2411.71875,4995.703125,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858923,0.3335995764394247,7975
237634117,RPE_1-2020-11-15_00-25.flac,RPE_1,2020,11,15,0,25,Amazophrynella minuta,Common Song,22.563990929705216,24.450612244897957,2411.71875,4995.703125,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858960,0.36516751626165894,7975
237634118,RPE_1-2020-11-15_00-25.flac,RPE_1,2020,11,15,0,25,Amazophrynella minuta,Common Song,21.524897959183672,23.411519274376417,2411.71875,4995.703125,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858960,0.3634183735527722,7975
237634119,RPE_1-2020-11-15_00-25.flac,RPE_1,2020,11,15,0,25,Amazophrynella minuta,Common Song,23.527619047619048,25.414240362811793,2411.71875,4995.703125,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858960,0.32628622629941817,7975
