id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
240807944,RPE_1-2020-11-12_16-45.flac,RPE_1,2020,11,12,16,45,Ameerega trivittata,Courtship Song,14.042267573696146,15.12780045351474,1033.59375,4134.375,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10856547,0.32301147359491317,7975
240807945,RPE_1-2020-11-12_16-45.flac,RPE_1,2020,11,12,16,45,Ameerega trivittata,Courtship Song,26.859682539682538,27.945215419501135,1033.59375,4134.375,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10856547,0.305277880009759,7975
240807946,RPE_1-2020-11-12_16-45.flac,RPE_1,2020,11,12,16,45,Ameerega trivittata,Courtship Song,6.582857142857143,7.668390022675737,1033.59375,4134.375,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10856547,0.30471797778228205,7975
240807947,RPE_1-2020-11-12_16-55.flac,RPE_1,2020,11,12,16,55,Ameerega trivittata,Courtship Song,32.88526077097506,33.97079365079365,1033.59375,4134.375,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10856553,0.3085110274414654,7975
240807948,RPE_1-2020-11-12_17-10.flac,RPE_1,2020,11,12,17,10,Ameerega trivittata,Courtship Song,48.48326530612245,49.56879818594104,1033.59375,4134.375,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10856561,0.31303579360505907,7975
240807949,RPE_1-2020-11-12_17-15.flac,RPE_1,2020,11,12,17,15,Ameerega trivittata,Courtship Song,23.54503401360544,24.630566893424035,1033.59375,4134.375,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10856565,0.34138666806288703,7975
240807950,RPE_1-2020-11-12_17-25.flac,RPE_1,2020,11,12,17,25,Ameerega trivittata,Courtship Song,33.88952380952381,34.9750566893424,1033.59375,4134.375,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10856574,0.3267501611186866,7975
240807955,RPE_1-2020-11-14_19-20.flac,RPE_1,2020,11,14,19,20,Ameerega trivittata,Courtship Song,7.9760544217687075,9.061587301587302,1033.59375,4134.375,22050,present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858767,0.32229656155356384,7975
240807956,RPE_1-2020-11-14_19-20.flac,RPE_1,2020,11,14,19,20,Ameerega trivittata,Courtship Song,2.3974603174603173,3.4829931972789114,1033.59375,4134.375,22050,present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858767,0.31973983639045417,7975
240807957,RPE_1-2020-11-14_19-20.flac,RPE_1,2020,11,14,19,20,Ameerega trivittata,Courtship Song,50.38149659863946,51.46702947845805,1033.59375,4134.375,22050,present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858767,0.3140200452165552,7975
240807958,RPE_1-2020-11-14_19-25.flac,RPE_1,2020,11,14,19,25,Ameerega trivittata,Courtship Song,37.314467120181405,38.4,1033.59375,4134.375,22050,present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858768,0.31592075829048843,7975
240807959,RPE_1-2020-11-14_19-25.flac,RPE_1,2020,11,14,19,25,Ameerega trivittata,Courtship Song,30.389115646258503,31.474648526077097,1033.59375,4134.375,22050,present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858768,0.31431311181148053,7975
240807960,RPE_1-2020-11-14_19-25.flac,RPE_1,2020,11,14,19,25,Ameerega trivittata,Courtship Song,42.17324263038549,43.25877551020408,1033.59375,4134.375,22050,present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858768,0.3070725207560077,7975
240807961,RPE_1-2020-11-14_19-35.flac,RPE_1,2020,11,14,19,35,Ameerega trivittata,Courtship Song,23.603083900226757,24.68861678004535,1033.59375,4134.375,22050,present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858775,0.30407937614065317,7975
240807962,RPE_1-2020-11-14_21-45.flac,RPE_1,2020,11,14,21,45,Ameerega trivittata,Courtship Song,2.5309750566893423,3.6165079365079364,1033.59375,4134.375,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858864,0.3077558571514911,7975
240807963,RPE_1-2020-11-14_21-45.flac,RPE_1,2020,11,14,21,45,Ameerega trivittata,Courtship Song,0.4005442176870748,1.486077097505669,1033.59375,4134.375,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858864,0.30323145317555406,7975
240807964,RPE_1-2020-11-14_23-10.flac,RPE_1,2020,11,14,23,10,Ameerega trivittata,Courtship Song,1.8053514739229024,2.8908843537414968,1033.59375,4134.375,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858912,0.30749395641310984,7975
240807965,RPE_1-2020-11-14_23-10.flac,RPE_1,2020,11,14,23,10,Ameerega trivittata,Courtship Song,2.403265306122449,3.488798185941043,1033.59375,4134.375,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858912,0.303235381333432,7975
240807966,RPE_1-2020-11-15_06-40.flac,RPE_1,2020,11,15,6,40,Ameerega trivittata,Courtship Song,44.48362811791383,45.569160997732425,1033.59375,4134.375,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10859206,0.3479961031505516,7975
240807967,RPE_1-2020-11-15_06-40.flac,RPE_1,2020,11,15,6,40,Ameerega trivittata,Courtship Song,46.39927437641723,47.484807256235825,1033.59375,4134.375,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10859206,0.32028351201851235,7975
