id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
242201176,RPE_2-2020-11-15_18-35.flac,RPE_2,2020,11,15,18,35,Leptodactylus stenodema,Common Song,23.18512471655329,23.556643990929704,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10866920,0.3667322952603201,7976
242201177,RPE_2-2020-11-15_18-35.flac,RPE_2,2020,11,15,18,35,Leptodactylus stenodema,Common Song,4.818140589569161,5.189659863945578,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10866920,0.33353853643119014,7976
242201178,RPE_2-2020-11-15_18-35.flac,RPE_2,2020,11,15,18,35,Leptodactylus stenodema,Common Song,23.394104308390023,23.76562358276644,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10866920,0.3191554721999433,7976
242201179,RPE_1-2020-11-13_21-05.flac,RPE_1,2020,11,13,21,5,Leptodactylus stenodema,Common Song,10.43156462585034,10.803083900226758,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10857850,0.3364877728185259,7975
242201180,RPE_1-2020-11-13_21-05.flac,RPE_1,2020,11,13,21,5,Leptodactylus stenodema,Common Song,11.969886621315192,12.34140589569161,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10857850,0.32328907395218875,7975
242201181,RPE_1-2020-11-14_04-30.flac,RPE_1,2020,11,14,4,30,Leptodactylus stenodema,Common Song,13.868117913832199,14.239637188208617,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858148,0.3313968232275358,7975
242201182,RPE_1-2020-11-14_05-15.flac,RPE_1,2020,11,14,5,15,Leptodactylus stenodema,Common Song,28.177414965986394,28.54893424036281,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858180,0.3187661623309742,7975
242201183,RPE_1-2020-11-14_05-20.flac,RPE_1,2020,11,14,5,20,Leptodactylus stenodema,Common Song,53.81224489795918,54.1837641723356,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858184,0.346557348298381,7975
242201184,RPE_1-2020-11-14_05-20.flac,RPE_1,2020,11,14,5,20,Leptodactylus stenodema,Common Song,17.890975056689342,18.26249433106576,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858184,0.31818811818241266,7975
242201185,RPE_1-2020-11-14_05-25.flac,RPE_1,2020,11,14,5,25,Leptodactylus stenodema,Common Song,0.011609977324263039,0.3831292517006803,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858187,0.322454576430501,7975
242201186,RPE_1-2020-11-14_05-30.flac,RPE_1,2020,11,14,5,30,Leptodactylus stenodema,Common Song,42.73052154195011,43.10204081632653,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858190,0.33296078947670343,7975
242201187,RPE_1-2020-11-14_05-35.flac,RPE_1,2020,11,14,5,35,Leptodactylus stenodema,Common Song,24.22421768707483,24.595736961451248,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858193,0.34129951155638183,7975
242201188,RPE_1-2020-11-14_06-10.flac,RPE_1,2020,11,14,6,10,Leptodactylus stenodema,Common Song,58.22403628117914,58.595555555555556,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858219,0.3210023223906769,7975
242201189,RPE_1-2020-11-14_06-15.flac,RPE_1,2020,11,14,6,15,Leptodactylus stenodema,Common Song,50.90975056689342,51.28126984126984,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858221,0.31566978724631617,7975
242201190,RPE_1-2020-11-14_06-15.flac,RPE_1,2020,11,14,6,15,Leptodactylus stenodema,Common Song,13.461768707482992,13.83328798185941,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858221,0.3148404457608273,7975
242201191,RPE_1-2020-11-14_06-55.flac,RPE_1,2020,11,14,6,55,Leptodactylus stenodema,Common Song,34.893786848072565,35.265306122448976,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858241,0.3019592649926584,7975
242201192,RPE_1-2020-11-14_07-10.flac,RPE_1,2020,11,14,7,10,Leptodactylus stenodema,Common Song,16.451337868480724,16.822857142857142,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858252,0.3767295519307025,7975
242201193,RPE_1-2020-11-14_07-15.flac,RPE_1,2020,11,14,7,15,Leptodactylus stenodema,Common Song,3.3959183673469386,3.767437641723356,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858253,0.30642535209813915,7975
242201194,RPE_1-2020-11-14_07-30.flac,RPE_1,2020,11,14,7,30,Leptodactylus stenodema,Common Song,8.835192743764173,9.206712018140589,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858259,0.30440430085849257,7975
242201195,RPE_1-2020-11-14_08-00.flac,RPE_1,2020,11,14,8,0,Leptodactylus stenodema,Common Song,39.955736961451244,40.32725623582766,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858275,0.3231914974987116,7975
242201196,RPE_1-2020-11-14_08-00.flac,RPE_1,2020,11,14,8,0,Leptodactylus stenodema,Common Song,40.35047619047619,40.72199546485261,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858275,0.30331265204555735,7975
242201197,RPE_1-2020-11-14_08-15.flac,RPE_1,2020,11,14,8,15,Leptodactylus stenodema,Common Song,49.88226757369615,50.253786848072565,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858288,0.3499504688725852,7975
242201198,RPE_1-2020-11-14_09-10.flac,RPE_1,2020,11,14,9,10,Leptodactylus stenodema,Common Song,48.43102040816326,48.80253968253968,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858324,0.3420188778003594,7975
242201199,RPE_1-2020-11-14_09-10.flac,RPE_1,2020,11,14,9,10,Leptodactylus stenodema,Common Song,25.4897052154195,25.86122448979592,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858324,0.3364681593168225,7975
242201200,RPE_1-2020-11-14_09-15.flac,RPE_1,2020,11,14,9,15,Leptodactylus stenodema,Common Song,55.99492063492063,56.36643990929705,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858328,0.36624176951391935,7975
242201201,RPE_1-2020-11-14_09-35.flac,RPE_1,2020,11,14,9,35,Leptodactylus stenodema,Common Song,22.923900226757368,23.295419501133786,172.265625,1119.7265625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10858345,0.3297970638044513,7975
