id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
237686867,RPE_3-2020-11-15_22-10.flac,RPE_3,2020,11,15,22,10,Synapturanus mirandaribeiroi,Common Song,13.159909297052154,15.342585034013606,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10877266,0.3080459890303902,7977
237686868,RPE_3-2020-11-15_22-40.flac,RPE_3,2020,11,15,22,40,Synapturanus mirandaribeiroi,Common Song,4.806530612244898,6.989206349206349,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10877283,0.30816544886896174,7977
237686869,RPE_3-2020-11-15_23-15.flac,RPE_3,2020,11,15,23,15,Synapturanus mirandaribeiroi,Common Song,0.8126984126984127,2.995374149659864,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10877304,0.30781364929557997,7977
237686870,RPE_3-2020-11-16_00-30.flac,RPE_3,2020,11,16,0,30,Synapturanus mirandaribeiroi,Common Song,24.171972789115646,26.354648526077096,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10877353,0.3086373653327284,7977
237686871,RPE_2-2020-11-13_18-30.flac,RPE_2,2020,11,13,18,30,Synapturanus mirandaribeiroi,Common Song,2.2175056689342405,4.400181405895691,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10864998,0.30161370145650257,7976
237686872,RPE_2-2020-11-13_18-35.flac,RPE_2,2020,11,13,18,35,Synapturanus mirandaribeiroi,Common Song,51.94303854875283,54.12571428571429,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10865000,0.32265426280198434,7976
237686873,RPE_2-2020-11-13_18-35.flac,RPE_2,2020,11,13,18,35,Synapturanus mirandaribeiroi,Common Song,21.61777777777778,23.800453514739228,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10865000,0.31561361755031847,7976
237686874,RPE_2-2020-11-13_19-00.flac,RPE_2,2020,11,13,19,0,Synapturanus mirandaribeiroi,Common Song,33.97659863945578,36.15927437641724,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10865015,0.30747615076767687,7976
237686875,RPE_2-2020-11-13_19-10.flac,RPE_2,2020,11,13,19,10,Synapturanus mirandaribeiroi,Common Song,33.38448979591837,35.56716553287982,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10865021,0.3182652417784029,7976
237686876,RPE_2-2020-11-13_19-10.flac,RPE_2,2020,11,13,19,10,Synapturanus mirandaribeiroi,Common Song,10.170340136054422,12.353015873015874,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10865021,0.3175319793373112,7976
237686877,RPE_2-2020-11-13_19-25.flac,RPE_2,2020,11,13,19,25,Synapturanus mirandaribeiroi,Common Song,37.8659410430839,40.04861678004535,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10865038,0.30669218643441454,7976
237686878,RPE_2-2020-11-13_19-35.flac,RPE_2,2020,11,13,19,35,Synapturanus mirandaribeiroi,Common Song,33.13487528344671,35.31755102040816,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10865044,0.32191112711143793,7976
237686879,RPE_2-2020-11-13_20-10.flac,RPE_2,2020,11,13,20,10,Synapturanus mirandaribeiroi,Common Song,47.8853514739229,50.06802721088435,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10865068,0.3020882095299379,7976
237686880,RPE_5-2020-11-23_11-35.flac,RPE_5,2020,11,23,11,35,Synapturanus mirandaribeiroi,Common Song,54.44498866213152,56.62766439909297,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10900152,0.3541881966194245,7979
237686881,RPE_5-2020-11-23_11-35.flac,RPE_5,2020,11,23,11,35,Synapturanus mirandaribeiroi,Common Song,51.85596371882086,54.03863945578231,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10900152,0.3198620418978325,7979
237686882,RPE_6_BC-2020-11-12_11-50.flac,RPE_6,2020,11,12,11,50,Synapturanus mirandaribeiroi,Common Song,6.797641723356009,8.98031746031746,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10934906,0.30232919962359184,7981
237686883,RPE_2-2020-11-14_20-40.flac,RPE_2,2020,11,14,20,40,Synapturanus mirandaribeiroi,Common Song,48.87800453514739,51.06068027210885,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10866081,0.30123818452677664,7976
237686884,RPE_4-2020-11-23_10-30.flac,RPE_4,2020,11,23,10,30,Synapturanus mirandaribeiroi,Common Song,42.55637188208617,44.73904761904762,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10892967,0.3048763662746511,7978
237686885,RPE_4-2020-11-23_14-15.flac,RPE_4,2020,11,23,14,15,Synapturanus mirandaribeiroi,Common Song,47.246802721088436,49.429478458049886,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10893107,0.316174146749158,7978
237686886,RPE_4-2020-11-23_15-05.flac,RPE_4,2020,11,23,15,5,Synapturanus mirandaribeiroi,Common Song,33.97659863945578,36.15927437641724,86.1328125,2497.8515625,22050,not present,https://arbimon.rfcx.org/api/project/biodiversidade-nas-cidades/recordings/download/10893145,0.3032075664922879,7978
