Id,Name,Latitude,Longitude,Altitude,Timezone,Recordings_Count
22498,Fonte,-3.128913,-60.00581,0,America/Manaus,20
22899,frogs,-3.227,-60.158,67,America/Manaus,22
18661,IR_1,-3.27560806274414,-60.1861991882324,14,America/Manaus,1942
18662,IR_2,-3.26855301856995,-60.1743621826172,57,America/Manaus,2278
18663,IR_3_B,-3.26178693771362,-60.1817016601562,39,America/Manaus,1950
18664,IR_4_B,-3.22724008560181,-60.156852722168,61,America/Manaus,1333
18665,IR_5,-3.25354409217834,-60.1679916381836,57,America/Manaus,1716
18666,IR_6_B,-3.26557111740112,-60.1599998474121,57,America/Manaus,4290
9369,IT_1,-3.125412,-58.429441,31,America/Manaus,2599
9370,IT_2,-3.083408,-58.455219,29,America/Manaus,1313
9371,IT_3,-3.120995,-58.460412,42,America/Manaus,2646
9372,IT_4_B,-3.150046,-58.434468,27,America/Manaus,2205
9373,IT_5,-3.098762,-58.465745,34,America/Manaus,2337
9374,IT_6_B,-3.110221,-58.445675,29,America/Manaus,0
9375,IT_7_B,-3.116432,-58.486781,88,America/Manaus,2090
16329,MA_1,-3.00175,-59.936592,93,America/Manaus,2239
18644,MA_11,-3.01922988891602,-60.001335144043,68,America/Manaus,1359
16330,MA_2,-3.099502,-59.967003,52,America/Manaus,2098
16331,MA_3,-3.101676,-60.041947,50,America/Manaus,1362
16332,MA_4,-3.063547,-60.051786,57,America/Manaus,1184
16333,MA_5_A,-2.945773,-59.961788,79,America/Manaus,1983
16335,MA_5_B,-2.928242,-59.969608,85,America/Manaus,1955
16334,MA_5_C,-2.934105,-59.948941,116,America/Manaus,0
18650,MA_6,-3.03795790672302,-59.9806098937988,52,America/Manaus,2014
18639,MA_7,-3.08108997344971,-60.0036239624023,53,America/Manaus,1929
12797,MC_1,-3.284765,-60.642708,43,America/Manaus,1871
14669,MC_1_B,-3.286446,-60.633513,33,America/Manaus,1192
12648,MC_2_B,-3.269965,-60.641009,37,America/Manaus,1099
12647,MC_4,-3.26921,-60.654997,56,America/Manaus,2317
12646,MC_5,-3.253971,-60.644514,49,America/Manaus,2619
12645,MC_6,-3.264975,-60.605764,51,America/Manaus,1270
7945,PF_1,-2.05196,-60.0120657,112,America/Manaus,1765
7946,PF_2,-2.031522,-59.97295,174,America/Manaus,1262
7947,PF_3,-2.049163,-60.028263,58,America/Manaus,1440
21816,PF_4,-2.046051,-59.977137,152,America/Manaus,1417
7948,PF_5,-2.053179,-60.021726,62,America/Manaus,1419
7949,PF_6,-2.035984,-59.998899,103,America/Manaus,1444
7975,RPE_1,-2.69818,-59.694914,55,America/Manaus,2232
7976,RPE_2,-2.696099,-59.685381,70,America/Manaus,1880
7977,RPE_3,-2.683404,-59.666425,63,America/Manaus,1850
7978,RPE_4,-2.669859,-59.653487,87,America/Manaus,1369
7979,RPE_5,-2.621247,-59.667756,111,America/Manaus,1149
7980,RPE_5_B,-2.637329,-59.671494,35,America/Manaus,2577
7981,RPE_6,-2.69041,-59.699305,54,America/Manaus,2250
